State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,litracy_rate,Female_Literate,Male_Literate,Hindus,Muslims,Sikhs,Christians,Jains,Middle_Education,Female_Workers,Male_Workers,Household_Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Primary_Education,Higher_Education,SC,ST
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,CHHATTISGARH,255230,128663,126567,86919,34.0,32843,54076,245151,1617,68,2709,15,14170,62934,71591,1399,12516,117,1462,22787,6755,10122,204189
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,KARNATAKA,2177331,1111022,1066309,1248268,57.0,517702,730566,1786830,369588,558,2433,8665,143199,347611,580111,25379,326594,4987,36571,430477,129109,442773,39314
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,KARNATAKA,1137961,566622,571339,818345,72.0,380088,438257,1004553,101235,182,26000,4710,160083,207885,357889,8873,238505,4510,18727,257550,96470,253651,44970
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,KARNATAKA,1659456,840843,818613,1087392,66.0,480204,607188,1520553,128751,322,3175,3778,196470,343276,513311,26235,307257,5711,28897,332648,132435,389117,302554
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,KARNATAKA,1945497,986400,959097,1308540,67.0,587903,720637,1658465,265805,307,5420,6417,206686,289568,585639,31438,372671,7320,39416,446793,154781,392595,233112
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,KARNATAKA,1847023,937206,909817,1301664,70.0,589888,711776,1390020,386834,1486,28747,29037,185530,241057,543776,16463,347962,15013,49585,383041,143453,177855,87548
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,KARNATAKA,1064570,537147,527423,700177,66.0,302999,397178,907750,143665,231,3432,5993,112703,185310,310412,15485,198064,3373,15625,244640,63816,174196,61654
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,KARNATAKA,2566326,1301755,1264571,1427368,56.0,599009,828359,2011014,513125,826,8344,4865,270622,407027,680001,25891,404767,9752,52483,579057,153746,648782,65259
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,KARNATAKA,1776421,883667,892754,1225256,69.0,556420,668836,1630814,120011,289,15611,5820,232531,343128,560452,16126,400702,4851,23444,354480,147837,345031,32329
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,KARNATAKA,1597668,819128,778540,1085443,68.0,481650,603793,1281878,297927,419,2406,9834,201965,239335,490731,20217,295937,2456,17819,430529,84357,219976,141380
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,KARNATAKA,554519,274608,279911,412877,74.0,197575,215302,448986,87274,139,17130,250,75291,106838,172100,1549,113931,3308,10758,111562,54939,73584,58054
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,KARNATAKA,1536401,776396,760005,1016219,66.0,452109,564110,1305431,199873,253,26722,2494,228422,263824,454048,24178,309494,5051,27235,289841,107929,465867,78875
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,KARNATAKA,1389920,699926,689994,809085,58.0,340300,468785,1218024,161770,296,4081,2898,127605,266792,387974,18794,223166,2135,15263,357098,72243,258608,164271
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,KARNATAKA,1805769,905085,900684,1149649,64.0,510981,638668,1712695,77801,322,8506,3607,226552,296205,575203,17834,391033,3367,20265,309476,157839,265294,22402
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,KARNATAKA,3001127,1511600,1489527,1962180,65.0,898414,1063766,2631985,290549,1255,39361,14419,404565,392465,921803,28162,640868,28397,80086,537686,222230,536643,334547
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,KARNATAKA,1928812,964511,964301,979769,51.0,402556,577213,1634062,272022,538,10394,4156,163709,373040,530373,19095,314547,5200,33903,385673,82082,400933,367071
